metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1780945060,1.000000,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_duration,1780945060,9.888300,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_blocked,1780945060,2.058300,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_connecting,1780945060,0.626400,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_tls_handshaking,1780945060,0.000000,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_sending,1780945060,0.000000,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_waiting,1780945060,9.136900,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_receiving,1780945060,0.751400,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_failed,1780945060,0.000000,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
checks,1780945060,1.000000,Status 200 ou 201 (Salvo com sucesso),,,,,,,,default,,,,,,,
checks,1780945060,1.000000,Tempo de resposta < 500ms,,,,,,,,default,,,,,,,
vus,1780945061,1.000000,,,,,,,,,,,,,,,,
vus_max,1780945061,20.000000,,,,,,,,,,,,,,,,
data_sent,1780945061,202.000000,,,,,,,,,default,,,,,,,
data_received,1780945061,298.000000,,,,,,,,,default,,,,,,,
iteration_duration,1780945061,1013.334500,,,,,,,,,default,,,,,,,
iterations,1780945061,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1780945061,1.000000,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
http_req_duration,1780945061,5.915300,,,,true,,POST,http://localhost:3000/api/progresso,HTTP/1.1,default,,201,,,http://localhost:3000/api/progresso,,
